id,sale_date,amount
POVD,25-04-21,1540
WEPI,25-04-21,1040
YJQN,25-04-21,1190
SCJS,25-04-21,4730
ZABT,25-04-21,16850
WHCH,25-04-21,2400
LVVQ,25-04-21,3610
5MDN,09-02-21,1180
MAV8,09-02-21,5990
8I40,09-02-21,1160
OJTH,09-02-21,900
ZX5D,09-02-21,4120
7BIZ,09-02-21,2730
N2BH,09-02-21,3410
3CSW,09-02-21,380
AIIA,09-02-21,420
CVAT,09-02-21,1630
UPIG,09-02-21,5460
1TZ2,09-02-21,840
74Z0,09-02-21,1705
EMG2,09-02-21,1540
M40B,09-02-21,3620
JCXO,09-02-21,40950
YUAI,09-02-21,2730
TDFJ,09-02-21,2730
PD5V,09-02-21,1560
GAIU,09-02-21,4790
VCCM,09-02-21,2120
LSTS,09-02-21,6120
V8S8,09-02-21,3730
4IBX,09-02-21,10500
1TJA,09-02-21,2485
4HN2,09-02-21,1110
5V6G,09-02-21,6080
YVBB,09-02-21,3260
EYHO,09-02-21,4580
DTBV,09-02-21,530
EMDT,09-02-21,11190
JM2L,09-02-21,1620
ZKTT,09-02-21,2060
OF2Y,09-02-21,2060
XMJI,09-02-21,4750
AJXI,09-02-21,4750
YUT9,09-02-21,5910
EYIV,09-02-21,4750
NUPU,09-02-21,4750
25TK,09-02-21,6810
CQLE,09-02-21,6810
ACHV,09-02-21,1540
KCN1,09-02-21,4890
SHOU,09-02-21,2080
F3RV,09-02-21,2730
8MMX,09-02-21,2060
BO8Q,09-02-21,3230
MDSB,09-02-21,3895
IMBB,09-02-21,1090
AZRV,09-02-21,3170
Y8XE,09-02-21,2580
TIFM,09-02-21,4750
O79L,09-02-21,20600
6BNW,09-02-21,2060
ERXE,09-02-21,2060
6UGQ,09-02-21,3645
3Q0I,09-02-21,4750
8K30,09-02-21,2580
RLCE,09-02-21,1290
QCIS,09-02-21,2580
QSJU,09-02-21,1290
J8KT,09-02-21,1290
Q1SP,09-02-21,3350
KYAD,09-02-21,3350
KMMB,09-02-21,1140
OJCA,09-02-21,21000
GE7Y,09-02-21,9500
EDUE,09-02-21,12360
KX9S,09-02-21,1610
XCEL,09-02-21,1160
TRUV,09-02-21,525
HFOX,09-02-21,2330
KSN1,09-02-21,1160
R90T,09-02-21,2075
VDEI,09-02-21,10300
FGNR,09-02-21,4120
GETJ,09-02-21,2060
NHLJ,09-02-21,1550
VROU,09-02-21,1550
B5W7,09-02-21,1550
TELV,09-02-21,1550
ZLRG,18-03-21,1005
LFA0,18-03-21,1070
OSUX,18-03-21,1800
PBVP,18-03-21,1970
BHNA,18-03-21,310
JW99,18-03-21,2100
WEGA,18-03-21,820
230R,18-03-21,430
EPOL,18-03-21,1130
S6HV,18-03-21,4100
IJQG,18-03-21,1490
FTV4,18-03-21,3700
Y128,18-03-21,2050
KK4J,18-03-21,2250
BCRS,18-03-21,3180
XEEN,18-03-21,2110
3YKC,18-03-21,1110
PVE5,18-03-21,9890
ELHQ,18-03-21,2630
YLR7,18-03-21,3120
KJIT,18-03-21,545
Y3NJ,18-03-21,1090
HTD5,18-03-21,3230
3FMB,18-03-21,3915
ACNE,18-03-21,20080
DE4M,18-03-21,1745
BZ2X,18-03-21,1745
M40I,18-03-21,13500
WQWF,18-03-21,3100
KXU1,18-03-21,3550
SKDL,18-03-21,6580
PAIO,18-03-21,6150
PWYB,18-03-21,2730
ZMVM,18-03-21,2730
YS11,18-03-21,3840
A4YN,18-03-21,3285
ULCJ,18-03-21,4000
2CUA,18-03-21,2000
KYBY,18-03-21,6740
V7U7,18-03-21,3470
9RK1,18-03-21,3470
JIVH,18-03-21,1540
3MV7,18-03-21,3080
FWTW,18-03-21,2050
ZIPF,18-03-21,19200
RKNN,18-03-21,1120
7RDL,18-03-21,1120
INZX,18-03-21,6680
PUBU,18-03-21,2090
WD9F,18-03-21,2090
KGYD,18-03-21,2090
VBBY,18-03-21,2090
HIPB,18-03-21,1110
WDM0,18-03-21,11610
MOXT,18-03-21,6940
O21H,18-03-21,2900
VLRI,18-03-21,4620
ULMF,18-03-21,5600
UASW,18-03-21,7250
9SAG,18-03-21,14900
3SZI,18-03-21,1540
FHO1,18-03-21,2680
WYIV,18-03-21,1540
XNPO,18-03-21,1540
OWEA,18-03-21,9600
PYY5,18-03-21,1140
63WA,18-03-21,1140
NXS1,18-03-21,3370
QEE7,18-03-21,3470
Y3GN,18-03-21,33700
TNSD,18-03-21,3470
DUGY,18-03-21,2050
5BB7,04-02-21,6750
5JAU,04-02-21,1320
HW5H,04-02-21,3410
BXGC,04-02-21,4230
MCQP,04-02-21,130
Q5DE,04-02-21,12500
SBP5,04-02-21,2700
FEKA,04-02-21,1580
HAIG,04-02-21,2730
M4VS,04-02-21,2730
XZLD,04-02-21,30340
X6PP,04-02-21,9460
ABBO,04-02-21,1160
9Q7E,04-02-21,1550
QNZJ,04-02-21,440
S3DN,04-02-21,3130
GF82,04-02-21,2730
80JD,04-02-21,1180
OPRY,04-02-21,1685
KBSJ,04-02-21,2510
EXAJ,04-02-21,5035
RKEX,04-02-21,2260
89ZQ,04-02-21,1685
PAAU,04-02-21,4530
ZW3N,04-02-21,3230
QSA1,04-02-21,2075
I06A,04-02-21,2105
PJCQ,04-02-21,3520
UYCV,04-02-21,3710
FPFS,04-02-21,7505
GWSU,04-02-21,365
HJLW,04-02-21,1560
NX1W,04-02-21,3230
9YNL,04-02-21,1600
OPC8,04-02-21,3440
JH0K,04-02-21,6620
FEKU,04-02-21,5245
LBA7,04-02-21,1160
BDTM,04-02-21,1730
R6SE,04-02-21,3200
MFDD,04-02-21,2130
DORT,04-02-21,1580
EKZH,04-02-21,4310
0C5X,04-02-21,5210
KK2E,04-02-21,1685
AWBB,04-02-21,3110
YDFC,04-02-21,5950
PV6Z,04-02-21,5680
Y1VS,04-02-21,1160
PZOQ,04-02-21,3480
